miso_zone,utility_name,utility_id,control_area,zone_pop,utility_total_pop,pct_of_utility_%,overlap_area_m2,utility_total_area_m2,pct_of_utility_area_%
MISO_LRZ1,CITY OF KASOTA - (MN),10037,MISO,63.3331,63.3331,100.0000,2945138.9174,2945138.9174,100.0000
MISO_LRZ1,CITY OF KASSON,10040,MISO,2131.7107,2131.7107,100.0000,7799290.0719,7799290.0719,100.0000
MISO_LRZ1,KEEWATIN PUBLIC UTILITIES,10089,MISO,96.3610,96.3610,100.0000,7412325.0066,7412325.0066,100.0000
MISO_LRZ1,KEM ELECTRIC COOP INC,10153,SWPP,6717.8276,6717.8276,100.0000,8517437297.5298,8517437297.5298,100.0000
MISO_LRZ1,KENYON MUNICIPAL UTILITIES,10179,MISO,54.5205,54.5205,100.0000,6011795.6580,6011795.6580,100.0000
MISO_LRZ1,"KINGSBURY ELECTRIC COOP, INC",10329,SWPP,5.0107,5.0107,100.0000,1778132.2084,1778132.2084,100.0000
MISO_LRZ1,LA FARGE MUNICIPAL ELECTRIC CO,10525,MISO,32.1751,32.1751,100.0000,2680149.6862,2680149.6862,100.0000
MISO_LRZ1,CITY OF LAKE CITY - (MN),10595,MISO,1552.1448,1552.1448,100.0000,9355786.7583,9355786.7583,100.0000
MISO_LRZ1,CITY OF LAKE PARK - (MN),10609,MISO,19.4205,19.4205,100.0000,2466860.6513,2466860.6513,100.0000
MISO_LRZ1,LAKE REGION ELECTRIC COOPERATIVE - (MN),10618,MISO,52571.1380,52571.1380,100.0000,7351792291.1443,7351792291.1443,100.0000
MISO_LRZ1,CITY OF LAKOTA - (ND),10629,SWPP,2.9852,2.9852,100.0000,2587098.2575,2587098.2575,100.0000
MISO_LRZ1,"LAKE REGION ELECTRIC ASSN, INC - (SD)",10632,WACM,9583.1051,9583.1051,100.0000,4904756803.9895,4904756803.9895,100.0000
MISO_LRZ1,LANESBORO PUBLIC UTILITY COMM,10685,MISO,42.2484,42.2484,100.0000,6033458.6185,6033458.6185,100.0000
MISO_LRZ1,LAKE COUNTRY POWER,10697,MISO,86230.8665,86230.8665,100.0000,24147185944.8017,24147185944.8017,100.0000
MISO_LRZ1,CITY OF LE SUEUR - (MN),10814,MISO,312.4167,312.4167,100.0000,4727891.1090,4727891.1090,100.0000
MISO_LRZ1,BAGLEY PUBLIC UTILITIES COMM,1101,MISO,98.5803,98.5803,100.0000,6764971.2673,6764971.2673,100.0000
MISO_LRZ1,LITCHFIELD PUBLIC UTILITIES,11064,MISO,3185.5948,3185.5948,100.0000,14121099.3106,14121099.3106,100.0000
MISO_LRZ1,"LOWER YELLOWSTONE R E A, INC",11272,"WAUW, SWPP",66044.9555,66044.9555,100.0000,18250299086.9064,18250299086.9064,100.0000
MISO_LRZ1,CITY OF MABEL - (MN),11424,MISO,10.1974,10.1974,100.0000,1442115.5280,1442115.5280,100.0000
MISO_LRZ1,CITY OF MADDOCK - (ND),11470,SWPP,1.7730,1.7730,100.0000,2284257.8951,2284257.8951,100.0000
MISO_LRZ1,CITY OF MADISON - (MN),11482,MISO,14.5747,14.5747,100.0000,2719035.6700,2719035.6700,100.0000
MISO_LRZ1,CITY OF MARSHALL - (MN),11731,MISO,8762.2937,8762.2937,100.0000,28676930.4374,28676930.4374,100.0000
MISO_LRZ1,CITY OF MARSHFIELD - (WI),11740,MISO,13543.3349,13543.3349,100.0000,30942893.3527,30942893.3527,100.0000
MISO_LRZ1,VILLAGE OF BANGOR - (WI),1181,MISO,70.5179,70.5179,100.0000,4338066.1140,4338066.1140,100.0000
MISO_LRZ1,MCLEOD COOPERATIVE POWER ASSN,11910,MISO,34790.2619,34790.2619,100.0000,2495122429.4597,2495122429.4597,100.0000
MISO_LRZ1,MCCONE ELECTRIC COOP INC,11989,WAUW,5063.8632,5063.8632,100.0000,8608717038.2696,8608717038.2696,100.0000
MISO_LRZ1,MCKENZIE ELECTRIC COOP INC,12087,SWPP,16885.4414,16885.4414,100.0000,10281757901.1333,10281757901.1333,100.0000
MISO_LRZ1,"MCLEAN ELECTRIC COOP, INC",12090,MISO,9790.7687,9790.7687,100.0000,6037303058.5600,6037303058.5600,100.0000
MISO_LRZ1,CITY OF MCGREGOR- (IA),12114,MISO,26.4417,26.4417,100.0000,3356236.2773,3356236.2773,100.0000
MISO_LRZ1,MONTANA-DAKOTA UTILITIES CO,12199,"SWPP, MISO, WACM",447444.5633,447444.5633,100.0000,139395138214.0248,139395138214.0248,100.0000
MISO_LRZ1,MEEKER COOP LIGHT & POWER ASSN,12227,MISO,25948.5045,25948.5045,100.0000,2063999802.3247,2063999802.3247,100.0000
MISO_LRZ1,CITY OF MEDFORD - (WI),12265,MISO,1487.9838,1487.9838,100.0000,6724103.2729,6724103.2729,100.0000
MISO_LRZ1,MELROSE PUBLIC UTILITIES,12286,MISO,750.3744,750.3744,100.0000,25427998.8858,25427998.8858,100.0000
MISO_LRZ1,NODAK ELECTRIC COOP INC,12301,MISO,120194.0227,120194.0227,100.0000,22688139569.6346,22688139569.6346,100.0000
MISO_LRZ1,CITY OF BARNESVILLE - (MN),1233,MISO,42.0145,42.0145,100.0000,5536568.1512,5536568.1512,100.0000
MISO_LRZ1,VILLAGE OF MERRILLAN - (WI),12336,MISO,42.8689,42.8689,100.0000,3474904.5483,3474904.5483,100.0000
MISO_LRZ1,"MID-YELLOWSTONE ELEC COOP, INC",12463,WAUW,348.7575,348.7575,100.0000,1261852673.8449,1261852673.8449,100.0000
MISO_LRZ1,BARRON ELECTRIC COOP,1251,MISO,72743.5281,72743.5281,100.0000,5083770948.4437,5083770948.4437,100.0000
MISO_LRZ1,MILLE LACS ENERGY COOPERATIVE,12546,MISO,17725.7992,17725.7992,100.0000,3666725523.9854,3666725523.9854,100.0000
MISO_LRZ1,"ALLETE, INC.",12647,MISO,202910.0220,202910.0220,100.0000,6226675980.2148,6226675980.2148,100.0000
MISO_LRZ1,CITY OF BARRON - (WI),1278,MISO,130.3806,130.3806,100.0000,5003479.0576,5003479.0576,100.0000
MISO_LRZ1,NORTHWESTERN ENERGY LLC - (MT),12825,NWMT,176.4722,176.4722,100.0000,301966001.7429,301966001.7429,100.0000
MISO_LRZ1,CITY OF MOORHEAD - (MN),12894,SWPP,37222.8448,37222.8448,100.0000,57730004.5381,57730004.5381,100.0000
MISO_LRZ1,MOOSE LAKE WATER & LIGHT COMM,12897,MISO,975.1106,975.1106,100.0000,14836738.7114,14836738.7114,100.0000
MISO_LRZ1,MOR-GRAN-SOU ELECTRIC COOP INC,12899,SWPP,40022.3134,40022.3134,100.0000,12287260860.4053,12287260860.4053,100.0000
MISO_LRZ1,CITY OF MORA - (MN),12900,MISO,1019.1501,1019.1501,100.0000,6847311.3777,6847311.3777,100.0000
MISO_LRZ1,MOREAU-GRAND ELECTRIC COOP INC,12915,SWPP,0.1878,0.1878,100.0000,320699.6270,320699.6270,100.0000
MISO_LRZ1,CITY OF MOUNTAIN IRON - (MN),13044,MISO,3051.2840,3051.2840,100.0000,183610791.7875,183610791.7875,100.0000
